#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Use_4_BEAUTI_09042024" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Use_4_BEAUTI_09042024" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Use_4_BEAUTI_09042024" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Use_4_BEAUTI_09042024" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Use_4_BEAUTI_09042024" name="distribution" x="@birthRate.t:Use_4_BEAUTI_09042024">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:Use_4_BEAUTI_09042024" name="distribution">
#            <parameter id="kappa.s:Use_4_BEAUTI_09042024" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequenciesPrior.s:Use_4_BEAUTI_09042024" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Use_4_BEAUTI_09042024" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.3" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Use_4_BEAUTI_09042024" id="treeLikelihood.Use_4_BEAUTI_09042024" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Use_4_BEAUTI_09042024">
#            <siteModel id="SiteModel.s:Use_4_BEAUTI_09042024" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Use_4_BEAUTI_09042024" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Use_4_BEAUTI_09042024" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Use_4_BEAUTI_09042024" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Use_4_BEAUTI_09042024" kappa="@kappa.s:Use_4_BEAUTI_09042024" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Use_4_BEAUTI_09042024" id="estimatedFreqs.s:Use_4_BEAUTI_09042024" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Use_4_BEAUTI_09042024" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Use_4_BEAUTI_09042024" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-236538.4961132914	-236528.3854429915	-10.110670299876787	-236528.3854429915	2.3027545264747658	12.342011439392488	-12.342011439392486	1.0	2.0	0.25	0.25	0.25	0.25
1000	-148432.22609019987	-148425.79684476662	-6.42924543325301	-148425.79684476662	1.6302966919916615	37.883558084755	-8.235805014314375	3.7195396134989966	1.5480551731695695	0.28449496282325076	0.3651031586879484	0.17321241833576775	0.17718946015303316
2000	-118781.9033485125	-118822.77553960658	40.872191094079206	-118822.77553960658	1.7198296637882449	25.237492620648514	39.06563151301784	3.9953019763596833	1.5480551731695695	0.28449496282325076	0.3651031586879484	0.17321241833576775	0.17718946015303316
3000	-94375.69036162399	-94428.3007848249	52.61042320091197	-94428.3007848249	1.3208073387912314	22.299483885316796	50.8038636198506	3.9953019763596833	1.5480551731695695	0.28449496282325076	0.3651031586879484	0.17321241833576775	0.17718946015303316
4000	-81854.59090469417	-81899.8475252949	45.25662060072618	-81899.8475252949	2.237473361642118	24.150664016824415	43.40783998184049	3.9953019763596833	1.5480551731695695	0.27736268758606686	0.3651031586879484	0.17321241833576775	0.18432173539021704
5000	-76185.39381780941	-76235.66706451868	50.273246709278254	-76235.66706451868	1.3621179571963173	22.895032743334788	48.42446609039256	3.9953019763596833	1.5480551731695695	0.27736268758606686	0.3651031586879484	0.17321241833576775	0.18432173539021704
6000	-70449.37594110963	-70501.53562881052	52.15968770090109	-70501.53562881052	1.7116402189229916	22.42286793507127	50.3109070820154	3.9953019763596833	1.5480551731695695	0.27736268758606686	0.3651031586879484	0.17321241833576775	0.18432173539021704
7000	-62284.196674272716	-62331.60013816966	47.403463896942945	-62331.60013816966	1.7396360011599652	23.28825311683491	45.51366767052433	5.174309213072962	1.4487197170573634	0.27736268758606686	0.3651031586879484	0.17321241833576775	0.18432173539021704
8000	-57610.4867554407	-57675.7156031969	65.22884775619903	-57675.7156031969	1.9044202130266537	19.84327464237112	63.33905152978041	5.174309213072962	1.4487197170573634	0.27736268758606686	0.3651031586879484	0.17321241833576775	0.18432173539021704
9000	-56008.97293281812	-56084.592634552595	75.61970173447429	-56084.592634552595	1.787674201616499	17.835112093441353	73.72990550805567	5.174309213072962	1.4487197170573634	0.27736268758606686	0.3651031586879484	0.17321241833576775	0.18432173539021704
10000	-54637.11805832659	-54717.88251129314	80.76445296655201	-54717.88251129314	1.6974178162844558	16.840824543118828	78.87465674013339	5.174309213072962	1.4487197170573634	0.27736268758606686	0.3651031586879484	0.17321241833576775	0.18432173539021704
11000	-51792.67416368788	-51869.366215015834	76.6920513279517	-51869.366215015834	1.8666858236690835	17.647112350590707	74.76508682505211	5.208837772114781	1.4487197170573634	0.2699167312004488	0.3651031586879484	0.17321241833576775	0.19176769177583514
12000	-50999.21305870283	-51085.290803593736	86.07774489091003	-51085.290803593736	1.5568547740212668	16.150393813763028	84.15078038801043	6.255470266044441	1.4487197170573634	0.2699167312004488	0.3651031586879484	0.17321241833576775	0.19176769177583514
13000	-50454.49585558126	-50544.2143961423	89.71854056103633	-50544.2143961423	1.510303352481198	15.555674734054127	87.79157605813674	6.851434604882394	1.4487197170573634	0.2699167312004488	0.3651031586879484	0.17321241833576775	0.19176769177583514
14000	-49862.277673372955	-49955.11782755473	92.84015418177079	-49955.11782755473	1.4228049849229478	15.106180291746982	90.87125783486243	6.851434604882394	1.3466357806558207	0.2699167312004488	0.3651031586879484	0.17321241833576775	0.19176769177583514
15000	-48448.80150939206	-48538.226500433644	89.42499104158274	-48538.226500433644	1.461035756119984	15.625708678245628	87.45609469467439	6.306399579346903	1.3466357806558207	0.2699167312004488	0.3651031586879484	0.17321241833576775	0.19176769177583514
