#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Tree" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Use_4_BEAUTI" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Tree" name="distribution" x="@birthRate.t:Tree">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Use_4_BEAUTI" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Use_4_BEAUTI" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.3" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:Use_4_BEAUTI" name="distribution">
#            <parameter id="kappa.s:Use_4_BEAUTI" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Use_4_BEAUTI" id="treeLikelihood.Use_4_BEAUTI" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Tree">
#            <siteModel id="SiteModel.s:Use_4_BEAUTI" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Use_4_BEAUTI" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Use_4_BEAUTI" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Use_4_BEAUTI" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Use_4_BEAUTI" kappa="@kappa.s:Use_4_BEAUTI" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Use_4_BEAUTI" id="estimatedFreqs.s:Use_4_BEAUTI" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Clock" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-74220.129406744	-74213.96226350388	-6.167143240124053	-74213.96226350388	1.438003222529337	8.398484379639749	-8.398484379639752	1.0	2.0	0.25	0.25	0.25	0.25
1000	-33564.47868786337	-33570.86225942863	6.383571565262837	-33570.86225942863	1.744802594514355	15.809041787326116	4.152230425747138	3.122279045590279	2.0	0.25	0.25	0.25	0.25
2000	-27723.821831806403	-27737.413452489993	13.591620683589978	-27737.413452489993	1.596142336679239	13.557744698114215	11.36027954407428	3.281354864423759	2.0	0.25	0.25	0.25	0.25
3000	-23177.106431489592	-23172.697145405415	-4.409286084175946	-23172.697145405415	3.116309806006816	18.169624845872356	-6.640627223691645	3.8578686388995163	2.0	0.25	0.25	0.25	0.25
4000	-20849.064518579547	-20858.377412214377	9.31289363483001	-20858.377412214377	2.637310064511445	14.822379593634166	6.980622888683815	2.850246982177326	1.7516383791899521	0.25	0.25	0.25	0.25
5000	-19861.831178582594	-19879.607192284082	17.77601370148916	-19879.607192284082	1.9487077194164941	12.33011053958628	15.443742955342962	4.362036171344155	1.7516383791899521	0.25	0.25	0.25	0.25
6000	-18975.269290144577	-18996.93595248813	21.66666234355396	-18996.93595248813	1.9928636707502057	11.442802864740178	19.338354593462686	3.898996391391526	1.7516383791899521	0.2590833864495924	0.2409166135504076	0.25	0.25
7000	-18577.240454350533	-18598.907647272063	21.667192921528187	-18598.907647272063	2.2333336284465037	11.442666784087365	19.338885171436914	3.898996391391526	1.7516383791899521	0.2590833864495924	0.2409166135504076	0.25	0.25
8000	-18090.738312707235	-18104.74406382953	14.005751122294411	-18104.74406382953	2.890065726606912	13.407644698955213	11.67744337220314	3.898996391391526	1.7516383791899521	0.2590833864495924	0.2409166135504076	0.25	0.25
9000	-17804.634194299124	-17827.42587836719	22.791684068066175	-17827.42587836719	1.914933690111378	11.14777446664451	20.35888534197879	4.684093386337058	1.4982597723605018	0.2590833864495924	0.2409166135504076	0.25	0.25
10000	-17641.81206841343	-17662.207384293964	20.39531588053553	-17662.207384293964	2.0227479750277557	11.66828547413267	17.920763174287895	4.684093386337058	1.3969458860086867	0.2590833864495924	0.2409166135504076	0.25	0.25
11000	-17538.920679239614	-17564.021476423226	25.100797183610922	-17564.021476423226	2.0061895510245744	10.584820914742235	22.626244477363286	5.074347047789003	1.3969458860086867	0.2590833864495924	0.2409166135504076	0.25	0.25
12000	-17459.989830481278	-17484.85625364677	24.866423165491696	-17484.85625364677	1.7658388184284648	10.585160362139137	22.39187045924406	5.233166820293956	1.3969458860086867	0.2590833864495924	0.2409166135504076	0.25	0.25
13000	-17383.384497492632	-17413.080577719884	29.696080227252853	-17413.080577719884	1.575535896043684	9.688588322584254	27.221527521005218	4.879769256271168	1.3969458860086867	0.2590833864495924	0.2409166135504076	0.25	0.25
14000	-17310.70585592943	-17332.853163178745	22.147307249311844	-17332.853163178745	2.3587708956745046	11.312183499468873	19.672754543064208	3.726917053117245	1.3969458860086867	0.2590833864495924	0.2409166135504076	0.25	0.25
15000	-17138.255894069498	-17161.735209175135	23.47931510563485	-17161.735209175135	2.0031785867360865	11.061861534817085	20.952044508033907	4.4270801810099085	1.2486562033475193	0.26817285053668105	0.2409166135504076	0.24091053591291134	0.25
16000	-17111.36709534579	-17138.892381970334	27.525286624541817	-17138.892381970334	1.5989449780542733	10.061943715187633	24.998016026940874	4.055992279762606	1.2486562033475193	0.26817285053668105	0.2409166135504076	0.24091053591291134	0.25
